price.heinz,price.hunts,price.delmonte,price.stb
1.19,1.39,1.49,0.89
0.99,1.36,1.39,0.95
1.46,1.43,1.49,0.99
1.46,1.43,1.45,0.99
1.46,1.36,1.39,0.95
0.99,1.36,1.47,0.95
1.19,1.44,1.47,0.95
1.19,1.53,1.47,0.95
1.47,1.43,1.45,0.99
0.79,1.43,1.45,0.99
1.19,1.39,1.49,0.99
1.19,1.29,1.39,0.95
1.39,1.39,1.49,0.89
1.39,0.89,1.39,0.95
1.39,0.89,1.39,0.95
0.99,1.49,1.49,0.89
1.19,1.36,1.39,0.95
1.39,0.89,1.49,0.89
1.39,1.39,1.49,0.89
0.99,1.43,1.46,0.79
1.46,1.49,1.49,0.95
1.39,0.89,1.39,0.89
1.39,0.79,1.39,0.95
1.39,1.36,1.39,0.95
0.99,1.53,1.49,0.95
1.19,1.39,1.49,0.89
0.99,1.53,1.47,0.95
1.46,1.43,0.89,0.99
1.19,1.39,1.49,0.89
0.99,1.39,1.49,0.89
0.99,1.29,1.39,0.95
1.19,0.89,1.49,0.89
1.19,1.29,1.39,0.95
1.19,1.49,1.39,0.89
1.46,1.19,1.39,0.79
1.39,0.89,1.39,0.95
1.39,1.39,1.49,0.99
1.46,1.43,1.45,0.99
1.19,1.36,1.49,0.95
1.19,1.39,1.49,0.89
1.19,1.49,1.39,0.89
0.99,1.39,1.49,0.89
0.99,1.36,1.39,0.95
0.99,1.39,1.49,0.89
1.39,1.39,1.49,0.89
1.39,0.79,1.39,0.95
0.99,1.36,1.39,0.95
1.46,1.43,1.46,0.79
1.19,1.39,1.49,0.89
0.99,1.49,1.39,0.89
1.46,1.19,1.49,0.79
1.19,1.36,1.39,0.95
1.46,1.29,1.49,0.95
1.46,1.19,1.46,0.95
1.19,1.53,1.47,0.95
1.46,1.43,1.45,0.99
1.39,1.39,1.49,0.89
0.99,1.36,1.49,0.95
1.19,1.29,1.39,0.95
1.19,1.39,1.49,0.89
0.99,1.36,1.49,0.95
1.19,1.53,1.49,0.95
1.39,0.89,1.39,0.95
1.19,1.36,1.39,0.95
1.39,1.39,1.45,0.79
1.46,1.43,1.45,0.99
1.46,1.53,1.45,0.75
1.19,1.29,1.49,0.95
1.46,1.43,1.45,0.99
1.46,1.43,1.45,0.99
1.39,0.89,1.39,0.89
1.47,1.43,1.49,0.99
1.46,1.19,1.39,0.79
1.19,1.39,1.49,0.89
1.39,1.36,1.49,0.95
1.39,1.36,1.39,0.95
1.39,1.36,1.39,0.95
1.46,1.53,1.49,0.95
0.99,1.53,1.49,0.95
1.46,1.53,1.49,0.95
1.39,0.89,1.39,0.95
0.99,1.36,1.49,0.95
1.19,1.53,1.49,0.95
1.46,1.19,1.49,0.79
1.46,1.43,1.49,0.75
1.46,1.43,1.49,0.75
0.99,1.39,1.49,0.89
1.39,1.39,1.49,0.89
1.39,1.39,0.99,0.79
1.19,1.19,1.49,0.95
0.99,1.53,1.49,0.95
0.99,1.36,1.39,0.95
1.39,0.79,1.39,0.95
1.19,1.19,1.46,0.95
1.46,1.53,1.46,0.79
0.99,1.36,1.47,0.95
1.39,1.36,1.39,0.95
1.46,1.19,1.46,0.79
0.99,1.53,1.46,0.95
0.99,1.43,1.46,0.99
0.99,1.49,1.49,0.89
1.39,1.39,1.49,0.89
1.19,1.29,1.39,0.95
1.39,0.79,1.39,0.95
1.19,1.39,1.49,0.89
1.46,1.43,1.49,0.99
0.99,1.43,1.45,0.99
1.19,1.36,1.39,0.95
1.47,1.43,1.45,0.99
1.19,1.19,1.46,0.95
1.46,1.53,1.49,0.95
0.99,1.39,1.49,0.89
1.39,0.89,1.39,0.95
1.19,1.39,1.49,0.89
1.19,1.49,1.49,0.89
1.46,1.43,0.99,0.79
1.46,1.43,0.99,0.79
1.19,1.39,1.49,0.89
1.46,1.53,1.46,0.95
1.19,1.36,1.49,0.95
1.46,1.36,1.49,0.95
1.19,1.49,1.49,0.95
1.19,1.49,1.49,0.95
1.46,1.43,1.46,0.79
1.46,1.43,1.46,0.75
1.39,1.39,0.99,0.79
0.99,1.36,1.39,0.95
